id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39298429,Maison ELIZONDOA ch 1,301714465,Dan,Saint-Palais,Masparraute,43.39075,-1.09368,Private room,102,1,1,2019-10-26,0.02,5,306,0,87785242600015
40502936,Appartement Villa Esponda,313565365,Pantxika,Saint-Jean-Pied-de-Port,Saint-Jean-Pied-de-Port,43.16526,-1.2357,Entire home/apt,,1,33,2023-10-30,0.75,1,186,7,
39312672,charmant appartement rénové à 300 m du centre,2359451,Pierre,Saint-Jean-Pied-de-Port,Uhart-Cize,43.16467,-1.24354,Entire home/apt,,6,10,2023-08-27,0.19,4,101,4,
40511017,F2  charme terrasse  3* vue  mer montagnes,31172916,Patricia,Hendaye,Urrugne,43.35024,-1.7346,Entire home/apt,70,4,5,2024-03-05,0.16,5,224,1,64545000233B8
39328154,Ciboure St Jean de Luz maison de ville,276803200,Irigaray,Hendaye,Ciboure,43.38108,-1.66103,Entire home/apt,350,7,5,2023-07-29,0.11,1,249,1,641890007355A
39328931,Maison ELIZONDOA ch 2,301714465,Dan,Saint-Palais,Masparraute,43.38941,-1.0939,Private room,89,1,2,2022-12-30,0.04,5,300,0,87785242600015
39329240,Maison ELIZONDOA ch 3,301714465,Dan,Saint-Palais,Masparraute,43.39019,-1.09392,Private room,72,1,4,2022-09-01,0.10,5,294,0,87785242600015
39329271,Maison ELIZONDOA ch 4,301714465,Dan,Saint-Palais,Masparraute,43.39081,-1.09546,Private room,67,1,4,2022-09-11,0.08,5,277,0,87785242600015
39331897,Maison ELIZONDOA ch 5,301714465,Dan,Saint-Palais,Masparraute,43.38871,-1.09398,Private room,83,1,2,2021-10-06,0.05,5,303,0,87785242600015
40528518,Charmant studio près des plages,174351062,Maria Esperanza Mirentxu,Anglet,Anglet,43.50595,-1.50052,Entire home/apt,90,2,42,2023-08-25,0.93,1,138,7,6402400119306
39332459,Spacieux appartement en bord de mer,3574694,Thierry,Hendaye,Hendaye,43.37253189086914,-1.7753759622573853,Entire home/apt,175,14,5,2023-09-05,0.11,2,39,3,6426000120151
40547517,Appartement lumineux et spacieux,314096241,Marie Pierre,Hendaye,Urrugne,43.36338,-1.69635,Entire home/apt,66,3,61,2023-10-27,1.34,1,152,18,645450003144B
39332516,Villa haut de gamme contemporaine face au lac,262771631,Jean,Anglet,Anglet,43.51102,-1.5204,Entire home/apt,800,7,0,,,1,239,0,6402400006008
